Open,High,Low,Close,Volume,Ticker,Count,Sentiment
27.559999465942383,27.600000381469727,27.549999237060547,27.559999465942383,82600.0,FM,1,0.0
27.559999465942383,27.600000381469727,27.549999237060547,27.600000381469727,27700.0,FM,1,0.0
27.579999923706055,27.639999389648438,27.579999923706055,27.59000015258789,38400.0,FM,1,0.0
27.59000015258789,27.6299991607666,27.559999465942383,27.579999923706055,23700.0,FM,1,0.0
27.600000381469727,27.6200008392334,27.579999923706055,27.59000015258789,32900.0,FM,1,0.0
27.559999465942383,27.6200008392334,27.559999465942383,27.56999969482422,33600.0,FM,1,0.0
27.579999923706055,27.639999389648438,27.540000915527344,27.579999923706055,44400.0,FM,1,0.0
27.559999465942383,27.639999389648438,27.559999465942383,27.579999923706055,32900.0,FM,1,0.0
27.59000015258789,27.6299991607666,27.56999969482422,27.600000381469727,27400.0,FM,1,0.0
27.600000381469727,27.639999389648438,27.56999969482422,27.56999969482422,7000.0,FM,1,0.0
27.600000381469727,27.649999618530273,27.56999969482422,27.649999618530273,24900.0,FM,1,0.0
27.6299991607666,27.649999618530273,27.559999465942383,27.649999618530273,38500.0,FM,1,0.0
27.56999969482422,27.65999984741211,27.420000076293945,27.559999465942383,39300.0,FM,1,0.0
27.6200008392334,27.65999984741211,27.59000015258789,27.600000381469727,39400.0,FM,1,0.0
27.610000610351562,27.690000534057617,27.600000381469727,27.670000076293945,37600.0,FM,1,0.0
27.6299991607666,27.65999984741211,27.600000381469727,27.600000381469727,18500.0,FM,1,0.0
27.610000610351562,27.649999618530273,27.5,27.540000915527344,57700.0,FM,1,0.0
27.579999923706055,27.68000030517578,27.579999923706055,27.68000030517578,24000.0,FM,1,0.0
27.639999389648438,27.68000030517578,27.610000610351562,27.68000030517578,71800.0,FM,1,0.0
27.639999389648438,27.68000030517578,27.6299991607666,27.68000030517578,25900.0,FM,1,0.0
27.639999389648438,27.68000030517578,27.639999389648438,27.639999389648438,26100.0,FM,1,0.0
27.6299991607666,27.690000534057617,27.6299991607666,27.690000534057617,50100.0,FM,1,0.0
27.649999618530273,27.700000762939453,27.6200008392334,27.700000762939453,15200.0,FM,1,0.0
27.68000030517578,27.699899673461914,27.649999618530273,27.68000030517578,4213.0,FM,1,0.0
36.25,36.599998474121094,35.650001525878906,36.560001373291016,1564300.0,YOU,1,0.0
36.290000915527344,37.029998779296875,36.119998931884766,36.5,1499000.0,YOU,1,0.0
36.279998779296875,36.415000915527344,35.08000183105469,35.27000045776367,1743700.0,YOU,1,0.0
35.5,36.189998626708984,35.290000915527344,36.02000045776367,1217100.0,YOU,1,0.0
36.5,37.0,35.380001068115234,35.47999954223633,1511400.0,YOU,1,0.0
35.849998474121094,36.5099983215332,35.560001373291016,36.11000061035156,1184700.0,YOU,1,0.0
36.27000045776367,37.0099983215332,36.029998779296875,37.0,1526200.0,YOU,1,0.0
37.0,37.810001373291016,36.7599983215332,37.45000076293945,1727500.0,YOU,1,0.0
37.59000015258789,38.040000915527344,36.720001220703125,36.779998779296875,2142900.0,YOU,1,0.0
36.869998931884766,37.709999084472656,35.72999954223633,36.84000015258789,2312700.0,YOU,1,0.0
36.599998474121094,36.665000915527344,34.43000030517578,34.77000045776367,2904700.0,YOU,1,0.0
34.970001220703125,36.77000045776367,34.8849983215332,36.72999954223633,2171300.0,YOU,1,0.0
38.349998474121094,38.880001068115234,38.02000045776367,38.45000076293945,2595600.0,YOU,1,0.0
31.239999771118164,31.520000457763672,28.360000610351562,28.530000686645508,10239400.0,YOU,1,0.0
28.170000076293945,28.260000228881836,27.25,27.770000457763672,4826200.0,YOU,1,0.0
28.18000030517578,28.25,27.450000762939453,27.850000381469727,2834400.0,YOU,1,0.0
28.0,28.75,27.3799991607666,27.530000686645508,2501900.0,YOU,1,0.0
28.0,28.0,26.299999237060547,26.469999313354492,4521200.0,YOU,1,0.0
26.450000762939453,27.209999084472656,26.42300033569336,26.90999984741211,2441100.0,YOU,1,0.0
26.8700008392334,26.8799991607666,25.719999313354492,26.229999542236328,2755200.0,YOU,1,0.0
26.0,26.100000381469727,25.440000534057617,25.739999771118164,2762600.0,YOU,1,0.0
25.360000610351562,26.530000686645508,25.31999969482422,26.360000610351562,2078500.0,YOU,1,0.0
26.469999313354492,26.81999969482422,26.0,26.790000915527344,1422700.0,YOU,1,0.0
26.739999771118164,26.81999969482422,26.139999389648438,26.350000381469727,489119.0,YOU,1,0.0
37.33000183105469,37.599998474121094,34.29999923706055,34.900001525878906,85800.0,TIL,1,0.0
34.20000076293945,35.08000183105469,32.79999923706055,33.58000183105469,84300.0,TIL,1,0.0
33.58000183105469,34.2400016784668,31.68000030517578,31.809999465942383,59900.0,TIL,1,0.0
32.0,33.82699966430664,30.395000457763672,30.8799991607666,50600.0,TIL,1,0.0
30.0,32.59000015258789,29.950000762939453,31.059999465942383,112200.0,TIL,1,0.0
31.459999084472656,35.79999923706055,31.459999084472656,35.290000915527344,172700.0,TIL,1,0.0
38.0,44.5,33.05500030517578,34.40999984741211,474300.0,TIL,1,0.0
33.75,34.84000015258789,33.75,34.279998779296875,109300.0,TIL,1,0.0
33.84000015258789,34.375,31.610000610351562,31.770000457763672,98400.0,TIL,1,0.0
31.75,32.757999420166016,28.719999313354492,28.780000686645508,106500.0,TIL,1,0.0
28.809999465942383,29.36199951171875,27.270000457763672,27.6299991607666,141000.0,TIL,1,0.0
27.049999237060547,28.190000534057617,26.424999237060547,26.459999084472656,91900.0,TIL,1,0.0
26.350000381469727,26.530000686645508,24.309999465942383,24.799999237060547,106300.0,TIL,1,0.0
